WKT,name
"POLYGON ((-121.400074 36.834012,-121.400248 36.834016,-121.400252 36.833906,-121.400169 36.833905,-121.40017 36.833864,-121.400079 36.833862,-121.400074 36.834012))",San Benito
"POLYGON ((-121.394582 36.835878,-121.394797 36.835884,-121.394805 36.835691,-121.394698 36.835688,-121.394697 36.835707,-121.39459 36.835704,-121.394582 36.835878))",San Benito
"POLYGON ((-121.397276 36.840427,-121.397461 36.840427,-121.397461 36.840324,-121.397276 36.840324,-121.397276 36.840427))",San Benito
"POLYGON ((-121.397737 36.840574,-121.397739 36.840474,-121.397544 36.84047,-121.397541 36.84057,-121.397737 36.840574))",San Benito
"POLYGON ((-121.389732 36.841999,-121.389733 36.841954,-121.389532 36.841952,-121.389531 36.842038,-121.389563 36.842038,-121.389563 36.842081,-121.389785 36.842083,-121.389786 36.841999,-121.389732 36.841999))",San Benito
"POLYGON ((-121.398448 36.842932,-121.398258 36.842932,-121.398258 36.843031,-121.398448 36.843031,-121.398448 36.842932))",San Benito
"POLYGON ((-121.387232 36.836335,-121.387157 36.836335,-121.387158 36.836292,-121.387073 36.836291,-121.387072 36.836467,-121.387231 36.836468,-121.387232 36.836335))",San Benito
"POLYGON ((-121.385131 36.837524,-121.385346 36.837525,-121.385346 36.837458,-121.38529 36.837458,-121.38529 36.837402,-121.385132 36.837402,-121.385131 36.837524))",San Benito
"POLYGON ((-121.385478 36.838843,-121.385425 36.838832,-121.385403 36.838898,-121.385608 36.838941,-121.385646 36.838824,-121.385494 36.838792,-121.385478 36.838843))",San Benito
"POLYGON ((-121.385373 36.839689,-121.385372 36.839896,-121.385667 36.839896,-121.385668 36.83969,-121.385373 36.839689))",San Benito
"POLYGON ((-121.392783 36.828926,-121.392374 36.828915,-121.392363 36.829161,-121.392773 36.829173,-121.392783 36.828926))",San Benito
"POLYGON ((-121.389857 36.831066,-121.389725 36.831066,-121.389725 36.831229,-121.389856 36.831229,-121.389857 36.831066))",San Benito
"POLYGON ((-121.397911 36.83356,-121.398093 36.833563,-121.3981 36.833366,-121.397918 36.833362,-121.397911 36.83356))",San Benito
"POLYGON ((-121.395152 36.833884,-121.395152 36.833702,-121.395029 36.833702,-121.395029 36.833745,-121.394986 36.833745,-121.394986 36.833884,-121.395152 36.833884))",San Benito
"POLYGON ((-121.392531 36.833884,-121.392531 36.833964,-121.392631 36.833964,-121.392631 36.833884,-121.392531 36.833884))",San Benito
"POLYGON ((-121.391896 36.834707,-121.392051 36.834707,-121.392051 36.834561,-121.391896 36.834561,-121.391896 36.834707))",San Benito
"POLYGON ((-121.396559 36.834676,-121.396601 36.834677,-121.396599 36.834739,-121.396777 36.834741,-121.396781 36.834578,-121.396561 36.834575,-121.396559 36.834676))",San Benito
"POLYGON ((-121.39809 36.835351,-121.398239 36.835352,-121.398241 36.835194,-121.398043 36.835193,-121.398042 36.835309,-121.39809 36.835309,-121.39809 36.835351))",San Benito
"POLYGON ((-121.386893 36.831936,-121.386802 36.832074,-121.386955 36.832138,-121.387046 36.832001,-121.386893 36.831936))",San Benito
"POLYGON ((-121.399472 36.818441,-121.399465 36.818353,-121.399331 36.81836,-121.39932 36.818217,-121.399168 36.818225,-121.399186 36.818456,-121.399472 36.818441))",San Benito
"POLYGON ((-121.410286 36.814626,-121.409964 36.814759,-121.410055 36.8149,-121.410377 36.814766,-121.410286 36.814626))",San Benito
"POLYGON ((-121.39477 36.810667,-121.394683 36.810653,-121.394669 36.810709,-121.394757 36.810723,-121.39477 36.810667))",San Benito
"POLYGON ((-121.395708 36.813289,-121.395645 36.813342,-121.395702 36.813385,-121.395765 36.813331,-121.395708 36.813289))",San Benito
"POLYGON ((-121.394182 36.806216,-121.39422 36.806201,-121.39412 36.806046,-121.393982 36.806103,-121.394162 36.806379,-121.394261 36.806338,-121.394182 36.806216))",San Benito
"POLYGON ((-121.386345 36.805807,-121.386174 36.805688,-121.386104 36.805753,-121.38614 36.805778,-121.386055 36.805856,-121.386189 36.80595,-121.386345 36.805807))",San Benito
"POLYGON ((-121.393417 36.886057,-121.393503 36.886376,-121.393705 36.886341,-121.393737 36.886458,-121.394793 36.886276,-121.394632 36.885681,-121.393555 36.885867,-121.393598 36.886026,-121.393417 36.886057))",San Benito
"POLYGON ((-121.50178 36.853278,-121.50178 36.853304,-121.501885 36.853304,-121.501885 36.853248,-121.50174 36.853248,-121.50174 36.853278,-121.50178 36.853278))",San Benito
"POLYGON ((-121.508488 36.857429,-121.508489 36.857695,-121.508572 36.857695,-121.508571 36.857429,-121.508488 36.857429))",San Benito
"POLYGON ((-121.492956 36.856555,-121.493412 36.856555,-121.493412 36.856437,-121.492956 36.856437,-121.492956 36.856555))",San Benito
"POLYGON ((-121.482066 36.849397,-121.482163 36.849397,-121.482163 36.849221,-121.482066 36.849221,-121.482066 36.849397))",San Benito
"POLYGON ((-121.471966 36.849338,-121.471965 36.849501,-121.472276 36.849503,-121.472277 36.849417,-121.4722 36.849416,-121.472201 36.849383,-121.472058 36.849382,-121.472059 36.849338,-121.471966 36.849338))",San Benito
"POLYGON ((-121.497366 36.801857,-121.497385 36.801747,-121.497135 36.80172,-121.497125 36.801776,-121.497097 36.801773,-121.497087 36.801826,-121.497366 36.801857))",San Benito
"POLYGON ((-121.488858 36.80548,-121.489074 36.805674,-121.489165 36.805609,-121.488949 36.805415,-121.488858 36.80548))",San Benito
"POLYGON ((-121.455138 36.862838,-121.455052 36.862806,-121.454989 36.862913,-121.455075 36.862945,-121.455138 36.862838))",San Benito
"POLYGON ((-121.42181 36.854527,-121.422041 36.854527,-121.422041 36.85442,-121.42181 36.85442,-121.42181 36.854527))",San Benito
"POLYGON ((-121.42328 36.854813,-121.423279 36.854924,-121.423516 36.854926,-121.423517 36.854815,-121.42328 36.854813))",San Benito
"POLYGON ((-121.430797 36.856075,-121.43072 36.855954,-121.430614 36.855997,-121.430691 36.856118,-121.430797 36.856075))",San Benito
"POLYGON ((-121.435157 36.850404,-121.435157 36.850511,-121.435286 36.850511,-121.435286 36.850404,-121.435157 36.850404))",San Benito
"POLYGON ((-121.436431 36.850634,-121.436576 36.850634,-121.436576 36.850548,-121.436431 36.850548,-121.436431 36.850634))",San Benito
"POLYGON ((-121.440172 36.851625,-121.440218 36.851639,-121.440262 36.851542,-121.440216 36.851529,-121.440172 36.851625))",San Benito
"POLYGON ((-121.42118 36.849541,-121.421086 36.849541,-121.421086 36.849687,-121.42118 36.849687,-121.42118 36.849541))",San Benito
"POLYGON ((-121.422703 36.85083,-121.422748 36.850871,-121.422873 36.850783,-121.422828 36.850742,-121.422703 36.85083))",San Benito
"POLYGON ((-121.413364 36.854493,-121.413514 36.854493,-121.413514 36.854322,-121.413364 36.854322,-121.413364 36.854493))",San Benito
"POLYGON ((-121.416026 36.85479,-121.416023 36.854904,-121.4161 36.854905,-121.416101 36.854863,-121.416196 36.854865,-121.4162 36.854746,-121.416087 36.854744,-121.416086 36.854791,-121.416026 36.85479))",San Benito
"POLYGON ((-121.412664 36.860873,-121.412079 36.860836,-121.412065 36.860973,-121.41265 36.861011,-121.412664 36.860873))",San Benito
"POLYGON ((-121.406842 36.853907,-121.406744 36.853908,-121.406745 36.854014,-121.406692 36.854014,-121.406692 36.854074,-121.406732 36.854073,-121.406732 36.854036,-121.406843 36.854035,-121.406842 36.853907))",San Benito
"POLYGON ((-121.40892 36.854746,-121.40892 36.854643,-121.408783 36.854643,-121.408783 36.854746,-121.40892 36.854746))",San Benito
"POLYGON ((-121.40016 36.855585,-121.400334 36.855585,-121.400334 36.855508,-121.40016 36.855508,-121.40016 36.855585))",San Benito
"POLYGON ((-121.402436 36.85751,-121.402435 36.857595,-121.402875 36.857598,-121.402875 36.857513,-121.402436 36.85751))",San Benito
"POLYGON ((-121.413587 36.848773,-121.413458 36.848773,-121.413458 36.848947,-121.413533 36.848947,-121.413533 36.848885,-121.413587 36.848885,-121.413587 36.848773))",San Benito
"POLYGON ((-121.4118 36.849932,-121.411921 36.849932,-121.411921 36.849846,-121.41198 36.849846,-121.41198 36.849767,-121.4118 36.849767,-121.4118 36.849932))",San Benito
"POLYGON ((-121.420754 36.850283,-121.420755 36.850439,-121.420888 36.850439,-121.420886 36.850282,-121.420754 36.850283))",San Benito
"POLYGON ((-121.416867 36.85075,-121.416985 36.85075,-121.416985 36.850683,-121.417041 36.850683,-121.417041 36.850617,-121.416867 36.850617,-121.416867 36.85075))",San Benito
"POLYGON ((-121.410403 36.851799,-121.410403 36.851939,-121.410505 36.851939,-121.410505 36.851799,-121.410403 36.851799))",San Benito
"POLYGON ((-121.410215 36.851795,-121.410215 36.852001,-121.410331 36.852001,-121.410331 36.851795,-121.410215 36.851795))",San Benito
"POLYGON ((-121.409955 36.852503,-121.410041 36.852503,-121.410041 36.852338,-121.409955 36.852338,-121.409955 36.852503))",San Benito
"POLYGON ((-121.406417 36.84762,-121.406302 36.84762,-121.406302 36.847775,-121.406417 36.847775,-121.406417 36.84762))",San Benito
"POLYGON ((-121.401172 36.850029,-121.401164 36.850292,-121.401986 36.850307,-121.401997 36.84992,-121.401685 36.849914,-121.401679 36.850131,-121.401483 36.850128,-121.401486 36.850035,-121.401172 36.850029))",San Benito
"POLYGON ((-121.407436 36.852325,-121.407345 36.852325,-121.407345 36.852495,-121.407436 36.852495,-121.407436 36.852325))",San Benito
"POLYGON ((-121.40628 36.85275,-121.40628 36.852898,-121.406406 36.852898,-121.406406 36.85275,-121.40628 36.85275))",San Benito
"POLYGON ((-121.405038 36.852899,-121.40416 36.852895,-121.404159 36.853042,-121.404256 36.853042,-121.404255 36.853149,-121.404294 36.853149,-121.404293 36.853207,-121.404339 36.853207,-121.404339 36.853159,-121.40453 36.853159,-121.404529 36.853223,-121.404598 36.853223,-121.404598 36.853251,-121.40498 36.853252,-121.404981 36.853122,-121.405036 36.853122,-121.405038 36.852899))",San Benito
"POLYGON ((-121.393944 36.853845,-121.393777 36.853845,-121.393777 36.853932,-121.393852 36.853932,-121.393852 36.853979,-121.393989 36.85398,-121.39399 36.853915,-121.393944 36.853915,-121.393944 36.853845))",San Benito
"POLYGON ((-121.38931 36.856321,-121.38931 36.856401,-121.389409 36.856401,-121.389409 36.856321,-121.38931 36.856321))",San Benito
"POLYGON ((-121.396512 36.856677,-121.396458 36.856677,-121.39646 36.856588,-121.396369 36.856587,-121.396366 36.856753,-121.39651 36.856754,-121.396512 36.856677))",San Benito
"POLYGON ((-121.396509 36.857379,-121.396646 36.857379,-121.396646 36.857278,-121.396509 36.857278,-121.396509 36.857379))",San Benito
"POLYGON ((-121.397433 36.858802,-121.397321 36.858679,-121.397245 36.858723,-121.397273 36.858754,-121.397228 36.85878,-121.397312 36.858873,-121.397433 36.858802))",San Benito
"POLYGON ((-121.389256 36.846266,-121.389258 36.846131,-121.389092 36.846129,-121.389091 36.8462,-121.389051 36.8462,-121.38905 36.846264,-121.389256 36.846266))",San Benito
"POLYGON ((-121.396003 36.84955,-121.395985 36.849885,-121.396272 36.849895,-121.39627 36.849935,-121.396496 36.849942,-121.396498 36.849904,-121.396786 36.849913,-121.396803 36.849577,-121.396003 36.84955))",San Benito
"POLYGON ((-121.39509 36.850147,-121.394948 36.850147,-121.394947 36.850245,-121.395089 36.850246,-121.39509 36.850147))",San Benito
"POLYGON ((-121.396726 36.850619,-121.39659 36.850619,-121.39659 36.850735,-121.396726 36.850735,-121.396726 36.850619))",San Benito
"POLYGON ((-121.410817 36.84129,-121.410605 36.841282,-121.410598 36.841419,-121.410809 36.841426,-121.410817 36.84129))",San Benito
"POLYGON ((-121.416878 36.843197,-121.416872 36.843282,-121.417012 36.843289,-121.417024 36.843131,-121.416949 36.843127,-121.416944 36.8432,-121.416878 36.843197))",San Benito
"POLYGON ((-121.400773 36.839138,-121.400939 36.83914,-121.400941 36.839049,-121.400775 36.839047,-121.400773 36.839138))",San Benito
"POLYGON ((-121.400787 36.840255,-121.400693 36.840255,-121.400693 36.840356,-121.400868 36.840356,-121.400868 36.840309,-121.400787 36.840309,-121.400787 36.840255))",San Benito
"POLYGON ((-121.401182 36.840421,-121.401216 36.840421,-121.401216 36.840462,-121.401324 36.840462,-121.401324 36.840342,-121.401182 36.840342,-121.401182 36.840421))",San Benito
"POLYGON ((-121.402874 36.84125,-121.402872 36.8413,-121.402982 36.841302,-121.40298 36.841369,-121.403126 36.841372,-121.40313 36.841257,-121.402874 36.84125))",San Benito
"POLYGON ((-121.400672 36.842681,-121.400519 36.842681,-121.400519 36.842774,-121.400672 36.842774,-121.400672 36.842681))",San Benito
"POLYGON ((-121.406492 36.844371,-121.406492 36.844469,-121.406648 36.844469,-121.406648 36.844371,-121.406492 36.844371))",San Benito
"POLYGON ((-121.40035 36.834348,-121.400422 36.834348,-121.400422 36.834208,-121.40035 36.834208,-121.40035 36.834348))",San Benito
"POLYGON ((-121.399693 36.834602,-121.39969 36.834703,-121.399834 36.834706,-121.399835 36.834646,-121.399798 36.834645,-121.399801 36.83454,-121.399624 36.834537,-121.399622 36.834601,-121.399693 36.834602))",San Benito
"POLYGON ((-121.388356 36.840274,-121.388182 36.840264,-121.388174 36.84036,-121.388227 36.840363,-121.388222 36.840425,-121.388342 36.840431,-121.388356 36.840274))",San Benito
"POLYGON ((-121.393937 36.840666,-121.393937 36.84082,-121.39402 36.84082,-121.39402 36.840666,-121.393937 36.840666))",San Benito
"POLYGON ((-121.398126 36.841782,-121.398126 36.841653,-121.398015 36.841653,-121.398015 36.841782,-121.398126 36.841782))",San Benito
"POLYGON ((-121.383951 36.8361,-121.383951 36.836062,-121.38385 36.836062,-121.383851 36.836195,-121.383914 36.836195,-121.383914 36.836222,-121.383972 36.836222,-121.383972 36.836202,-121.384104 36.836202,-121.384104 36.8361,-121.383951 36.8361))",San Benito
"POLYGON ((-121.38734 36.836811,-121.387459 36.836907,-121.387565 36.836822,-121.387446 36.836727,-121.38734 36.836811))",San Benito
"POLYGON ((-121.385626 36.838441,-121.385695 36.838468,-121.385745 36.838388,-121.385563 36.838316,-121.385495 36.838425,-121.385608 36.83847,-121.385626 36.838441))",San Benito
"POLYGON ((-121.386045 36.839759,-121.386202 36.839786,-121.386238 36.839646,-121.386081 36.83962,-121.386045 36.839759))",San Benito
"POLYGON ((-121.386727 36.844369,-121.386725 36.844416,-121.386807 36.844418,-121.386813 36.844253,-121.386636 36.844248,-121.386632 36.844366,-121.386727 36.844369))",San Benito
"POLYGON ((-121.391496 36.830865,-121.391353 36.830883,-121.391369 36.830963,-121.391318 36.830969,-121.391328 36.831018,-121.391522 36.830992,-121.391496 36.830865))",San Benito
"POLYGON ((-121.394198 36.832111,-121.394263 36.832114,-121.394259 36.832166,-121.394415 36.832173,-121.39442 36.832105,-121.394387 36.832103,-121.394394 36.832013,-121.394206 36.832004,-121.394198 36.832111))",San Benito
"POLYGON ((-121.393436 36.832398,-121.393581 36.832377,-121.39357 36.832329,-121.393623 36.832321,-121.393602 36.83223,-121.393404 36.832259,-121.393436 36.832398))",San Benito
"POLYGON ((-121.392574 36.834352,-121.392574 36.834468,-121.392741 36.834468,-121.392741 36.834352,-121.392574 36.834352))",San Benito
"POLYGON ((-121.39486 36.834948,-121.394774 36.834947,-121.394774 36.834953,-121.394632 36.834951,-121.394628 36.835108,-121.394856 36.835111,-121.39486 36.834948))",San Benito
"POLYGON ((-121.39568 36.835112,-121.395897 36.835113,-121.395897 36.835044,-121.395943 36.835044,-121.395943 36.834955,-121.395825 36.834955,-121.395825 36.834992,-121.39568 36.834992,-121.39568 36.835112))",San Benito
"POLYGON ((-121.385808 36.835402,-121.385984 36.835349,-121.385935 36.835244,-121.385722 36.835308,-121.385669 36.835397,-121.385672 36.835405,-121.385656 36.835433,-121.385616 36.835418,-121.385638 36.835382,-121.385611 36.835326,-121.385378 36.835237,-121.385335 36.835309,-121.385359 36.83536,-121.385487 36.835409,-121.385539 36.835519,-121.38561 36.835546,-121.385688 36.835523,-121.385926 36.835613,-121.385987 36.835511,-121.385831 36.835451,-121.385808 36.835402))",San Benito
"POLYGON ((-121.399907 36.820099,-121.399811 36.819995,-121.399685 36.82007,-121.399781 36.820174,-121.399907 36.820099))",San Benito
"POLYGON ((-121.405535 36.826949,-121.405725 36.826875,-121.405627 36.826716,-121.405513 36.826761,-121.405542 36.826809,-121.405467 36.826839,-121.405535 36.826949))",San Benito
"POLYGON ((-121.383658 36.815976,-121.383704 36.815987,-121.383731 36.815912,-121.383684 36.815902,-121.383658 36.815976))",San Benito
"POLYGON ((-121.398887 36.887327,-121.398769 36.88733,-121.398774 36.887497,-121.398892 36.887494,-121.398887 36.887327))",San Benito
"POLYGON ((-121.509124 36.852997,-121.509036 36.852997,-121.509036 36.853046,-121.509017 36.853046,-121.509017 36.853136,-121.509124 36.853136,-121.509124 36.852997))",San Benito
"POLYGON ((-121.498916 36.854705,-121.498916 36.854437,-121.498835 36.854437,-121.498835 36.854705,-121.498916 36.854705))",San Benito
"POLYGON ((-121.50686 36.85183,-121.506786 36.851829,-121.506784 36.852056,-121.506858 36.852057,-121.50686 36.85183))",San Benito
"POLYGON ((-121.488946 36.848949,-121.48885 36.848949,-121.48885 36.84905,-121.488909 36.84905,-121.488909 36.849114,-121.489029 36.849114,-121.489029 36.848979,-121.488946 36.848979,-121.488946 36.848949))",San Benito
"POLYGON ((-121.511702 36.809807,-121.511608 36.809882,-121.511734 36.809983,-121.511828 36.809907,-121.511702 36.809807))",San Benito
"POLYGON ((-121.473926 36.828084,-121.473944 36.829027,-121.474114 36.828973,-121.474191 36.828972,-121.474162 36.828914,-121.474369 36.828911,-121.474337 36.828846,-121.474355 36.828846,-121.474378 36.828795,-121.474504 36.828794,-121.474526 36.828839,-121.474542 36.828805,-121.474559 36.82884,-121.474527 36.828912,-121.474603 36.828912,-121.474605 36.829047,-121.474503 36.829273,-121.474508 36.829275,-121.474482 36.829333,-121.474788 36.829329,-121.474768 36.82834,-121.474726 36.828341,-121.474726 36.828387,-121.474511 36.828406,-121.474512 36.828472,-121.474406 36.828473,-121.474402 36.828273,-121.474255 36.82823,-121.474362 36.828197,-121.474293 36.828079,-121.473926 36.828084))",San Benito
"POLYGON ((-121.500849 36.819842,-121.500763 36.819807,-121.500722 36.819874,-121.500807 36.819909,-121.500849 36.819842))",San Benito
"POLYGON ((-121.500397 36.80241,-121.500367 36.802347,-121.500294 36.802369,-121.500324 36.802432,-121.500397 36.80241))",San Benito
"POLYGON ((-121.422631 36.870927,-121.422704 36.870927,-121.422704 36.870746,-121.422631 36.870746,-121.422631 36.870927))",San Benito
"POLYGON ((-121.425096 36.854836,-121.42527 36.854836,-121.42527 36.854716,-121.425096 36.854716,-121.425096 36.854836))",San Benito
"POLYGON ((-121.421472 36.854991,-121.421623 36.854991,-121.421623 36.854922,-121.42173 36.854922,-121.42173 36.854864,-121.421472 36.854864,-121.421472 36.854991))",San Benito
"POLYGON ((-121.431777 36.855866,-121.431778 36.855999,-121.431958 36.855998,-121.431957 36.855866,-121.431777 36.855866))",San Benito
"POLYGON ((-121.430514 36.85629,-121.430342 36.856249,-121.430307 36.856343,-121.430479 36.856385,-121.430514 36.85629))",San Benito
"POLYGON ((-121.435192 36.85072,-121.435192 36.850848,-121.435264 36.850848,-121.435264 36.85072,-121.435192 36.85072))",San Benito
"POLYGON ((-121.421666 36.851218,-121.421577 36.851218,-121.421577 36.851376,-121.421666 36.851376,-121.421666 36.851218))",San Benito
"POLYGON ((-121.39928 36.866184,-121.399154 36.866183,-121.399152 36.86638,-121.399187 36.866381,-121.399186 36.866446,-121.399277 36.866447,-121.39928 36.866184))",San Benito
"POLYGON ((-121.396742 36.86241,-121.396917 36.86241,-121.396917 36.862292,-121.396796 36.862292,-121.396796 36.862339,-121.396742 36.862339,-121.396742 36.86241))",San Benito
"POLYGON ((-121.395722 36.86874,-121.395672 36.868738,-121.395676 36.868633,-121.395579 36.868631,-121.395569 36.868908,-121.395715 36.868911,-121.395722 36.86874))",San Benito
"POLYGON ((-121.412158 36.85448,-121.412021 36.854478,-121.41202 36.854538,-121.412156 36.85454,-121.412158 36.85448))",San Benito
"POLYGON ((-121.417395 36.854708,-121.417507 36.854709,-121.417508 36.854614,-121.417575 36.854615,-121.417576 36.854548,-121.417501 36.854548,-121.4175 36.854593,-121.417396 36.854592,-121.417395 36.854708))",San Benito
"POLYGON ((-121.417778 36.854807,-121.41759 36.854806,-121.417588 36.854967,-121.417674 36.854967,-121.417674 36.854924,-121.417776 36.854925,-121.417778 36.854807))",San Benito
"POLYGON ((-121.410282 36.855077,-121.410411 36.855077,-121.410411 36.85489,-121.410282 36.85489,-121.410282 36.855077))",San Benito
"POLYGON ((-121.411578 36.856055,-121.411653 36.856057,-121.411657 36.855932,-121.411582 36.855931,-121.411578 36.856055))",San Benito
"POLYGON ((-121.420163 36.856519,-121.420264 36.856593,-121.420329 36.856536,-121.420227 36.856463,-121.420163 36.856519))",San Benito
"POLYGON ((-121.419353 36.857476,-121.419353 36.85759,-121.419458 36.85759,-121.419458 36.857476,-121.419353 36.857476))",San Benito
"POLYGON ((-121.414052 36.860167,-121.414006 36.860166,-121.414006 36.860226,-121.414135 36.860227,-121.414136 36.860196,-121.414181 36.860197,-121.414182 36.860135,-121.414126 36.860135,-121.414128 36.859987,-121.414054 36.859986,-121.414052 36.860167))",San Benito
"POLYGON ((-121.399733 36.854055,-121.399537 36.854055,-121.399537 36.854149,-121.399733 36.854149,-121.399733 36.854055))",San Benito
"POLYGON ((-121.399535 36.855353,-121.399752 36.855353,-121.399752 36.855285,-121.399698 36.855285,-121.399698 36.855257,-121.399535 36.855257,-121.399535 36.855353))",San Benito
"POLYGON ((-121.40057 36.856484,-121.40057 36.856381,-121.400476 36.856381,-121.400476 36.856484,-121.40057 36.856484))",San Benito
"POLYGON ((-121.399261 36.856926,-121.399261 36.857008,-121.399355 36.857008,-121.399355 36.856926,-121.399261 36.856926))",San Benito
"POLYGON ((-121.414213 36.847185,-121.414059 36.847138,-121.414006 36.847248,-121.41416 36.847295,-121.414213 36.847185))",San Benito
"POLYGON ((-121.411232 36.847745,-121.411511 36.847745,-121.411511 36.847659,-121.411232 36.847659,-121.411232 36.847745))",San Benito
"POLYGON ((-121.419101 36.848593,-121.419098 36.848703,-121.419178 36.848704,-121.419176 36.848766,-121.419255 36.848768,-121.419259 36.848596,-121.419101 36.848593))",San Benito
"POLYGON ((-121.417336 36.849359,-121.417564 36.849359,-121.417564 36.849241,-121.417336 36.849241,-121.417336 36.849359))",San Benito
"POLYGON ((-121.419342 36.850389,-121.419341 36.850427,-121.419242 36.850425,-121.419239 36.850528,-121.419422 36.850531,-121.419426 36.850391,-121.419342 36.850389))",San Benito
"POLYGON ((-121.418222 36.851469,-121.418187 36.851468,-121.418189 36.85142,-121.418077 36.851417,-121.418071 36.851552,-121.418125 36.851553,-121.418124 36.851585,-121.418218 36.851588,-121.418222 36.851469))",San Benito
"POLYGON ((-121.41174 36.852343,-121.4116 36.852342,-121.411598 36.852468,-121.411668 36.852469,-121.411667 36.852527,-121.411736 36.852528,-121.41174 36.852343))",San Benito
"POLYGON ((-121.404469 36.846734,-121.404287 36.84673,-121.404284 36.846823,-121.404459 36.846826,-121.404457 36.846891,-121.404563 36.846893,-121.404565 36.846828,-121.404654 36.846829,-121.404657 36.84675,-121.404781 36.846752,-121.404785 36.846624,-121.404657 36.846622,-121.404656 36.846676,-121.404558 36.846674,-121.404556 36.846762,-121.404516 36.846761,-121.404514 36.846831,-121.404467 36.84683,-121.404469 36.846734))",San Benito
"POLYGON ((-121.408523 36.847725,-121.408421 36.847725,-121.408421 36.847781,-121.408523 36.847781,-121.408523 36.847725))",San Benito
"POLYGON ((-121.409451 36.848005,-121.409445 36.8484,-121.40959 36.848402,-121.409596 36.848007,-121.409451 36.848005))",San Benito
"POLYGON ((-121.409237 36.849341,-121.409246 36.84907,-121.409001 36.849065,-121.408997 36.849179,-121.409104 36.849181,-121.409099 36.849338,-121.409237 36.849341))",San Benito
"POLYGON ((-121.408649 36.849683,-121.408544 36.849683,-121.408544 36.849831,-121.408649 36.849831,-121.408649 36.849683))",San Benito
"POLYGON ((-121.406645 36.851257,-121.406645 36.851398,-121.406761 36.851398,-121.406761 36.851257,-121.406645 36.851257))",San Benito
"POLYGON ((-121.406954 36.852769,-121.406841 36.852769,-121.406841 36.852935,-121.406954 36.852935,-121.406954 36.852769))",San Benito
"POLYGON ((-121.389318 36.853473,-121.389474 36.853473,-121.389474 36.853317,-121.389385 36.853317,-121.389385 36.853357,-121.389318 36.853357,-121.389318 36.853473))",San Benito
"POLYGON ((-121.392034 36.855238,-121.392113 36.85524,-121.392117 36.855169,-121.39219 36.855172,-121.392195 36.855073,-121.392042 36.855068,-121.392034 36.855238))",San Benito
"POLYGON ((-121.397663 36.859091,-121.397489 36.859047,-121.397447 36.859155,-121.397621 36.859199,-121.397663 36.859091))",San Benito
"POLYGON ((-121.398692 36.860236,-121.398566 36.860236,-121.398566 36.860309,-121.398692 36.860309,-121.398692 36.860236))",San Benito
"POLYGON ((-121.390971 36.844853,-121.390965 36.844979,-121.391621 36.845,-121.391628 36.844874,-121.390971 36.844853))",San Benito
"POLYGON ((-121.398415 36.848022,-121.398499 36.848023,-121.398503 36.8479,-121.398418 36.847898,-121.398415 36.848022))",San Benito
"POLYGON ((-121.395463 36.849156,-121.39635 36.849256,-121.396354 36.849232,-121.396428 36.84924,-121.396474 36.848978,-121.395513 36.848869,-121.395463 36.849156))",San Benito
"POLYGON ((-121.396814 36.850176,-121.396787 36.851029,-121.397033 36.851033,-121.397053 36.8504,-121.397179 36.850402,-121.397186 36.850184,-121.396814 36.850176))",San Benito
"POLYGON ((-121.390872 36.852636,-121.390842 36.852758,-121.390997 36.852782,-121.391027 36.85266,-121.390872 36.852636))",San Benito
"POLYGON ((-121.38411 36.850564,-121.384114 36.850472,-121.383951 36.850469,-121.383946 36.850623,-121.384057 36.850626,-121.384059 36.850562,-121.38411 36.850564))",San Benito
"POLYGON ((-121.431966 36.830896,-121.43213 36.830853,-121.432064 36.830692,-121.431947 36.830723,-121.431977 36.830794,-121.431929 36.830807,-121.431966 36.830896))",San Benito
"POLYGON ((-121.431331 36.833763,-121.431183 36.833645,-121.431089 36.83372,-121.431237 36.833838,-121.431331 36.833763))",San Benito
"POLYGON ((-121.44186 36.824872,-121.441763 36.824872,-121.441763 36.824955,-121.44186 36.824955,-121.44186 36.824872))",San Benito
"POLYGON ((-121.424163 36.824627,-121.424366 36.824559,-121.424284 36.824402,-121.424081 36.82447,-121.424163 36.824627))",San Benito
"POLYGON ((-121.412437 36.839721,-121.412616 36.839727,-121.412635 36.839382,-121.412456 36.839376,-121.412437 36.839721))",San Benito
"POLYGON ((-121.411767 36.839513,-121.411757 36.839823,-121.411828 36.839824,-121.411839 36.839514,-121.411767 36.839513))",San Benito
"POLYGON ((-121.411724 36.842413,-121.411715 36.842552,-121.411806 36.842556,-121.411809 36.842509,-121.411911 36.842513,-121.411919 36.842369,-121.411807 36.842365,-121.411804 36.842416,-121.411724 36.842413))",San Benito
"POLYGON ((-121.413931 36.843336,-121.413787 36.843334,-121.413784 36.843454,-121.413835 36.843455,-121.413834 36.843498,-121.413928 36.843499,-121.413931 36.843336))",San Benito
"POLYGON ((-121.40078 36.838889,-121.400779 36.838974,-121.401004 36.838977,-121.401006 36.838891,-121.40078 36.838889))",San Benito
"POLYGON ((-121.399923 36.839508,-121.40018 36.839517,-121.400187 36.839383,-121.400081 36.83938,-121.400079 36.839425,-121.399986 36.839422,-121.399989 36.839365,-121.39993 36.839363,-121.399923 36.839508))",San Benito
"POLYGON ((-121.408362 36.840692,-121.408158 36.84069,-121.408156 36.840821,-121.408295 36.840822,-121.408296 36.840774,-121.408361 36.840774,-121.408362 36.840692))",San Benito
