WKT,name
"POLYGON ((-121.383455 36.702379,-121.383397 36.702457,-121.383438 36.702477,-121.383496 36.702399,-121.383455 36.702379))",San Benito
"POLYGON ((-121.400232 36.760035,-121.40019 36.760093,-121.400364 36.760173,-121.400406 36.760114,-121.400232 36.760035))",San Benito
"POLYGON ((-121.388879 36.733294,-121.387835 36.733307,-121.387838 36.733432,-121.388881 36.733419,-121.388879 36.733294))",San Benito
"POLYGON ((-121.390698 36.747669,-121.390656 36.747613,-121.390591 36.747644,-121.390632 36.7477,-121.390698 36.747669))",San Benito
"POLYGON ((-121.391824 36.733369,-121.391823 36.733251,-121.390774 36.733259,-121.390776 36.733377,-121.391824 36.733369))",San Benito
"POLYGON ((-121.394364 36.733062,-121.394362 36.732938,-121.39332 36.732947,-121.393322 36.733072,-121.394364 36.733062))",San Benito
"POLYGON ((-121.395099 36.746434,-121.395079 36.746371,-121.395001 36.746387,-121.39502 36.74645,-121.395099 36.746434))",San Benito
"POLYGON ((-121.389747 36.750132,-121.389697 36.75016,-121.389745 36.750215,-121.389795 36.750187,-121.389747 36.750132))",San Benito
"POLYGON ((-121.386803 36.732235,-121.38576 36.732246,-121.385762 36.732364,-121.386805 36.732353,-121.386803 36.732235))",San Benito
"POLYGON ((-121.39763 36.73013,-121.396517 36.731212,-121.396668 36.731311,-121.396716 36.731264,-121.396704 36.731255,-121.397768 36.730221,-121.39763 36.73013))",San Benito
"POLYGON ((-121.389907 36.739732,-121.389923 36.739753,-121.389971 36.739729,-121.389955 36.739708,-121.389907 36.739732))",San Benito
"POLYGON ((-121.399668 36.755172,-121.399664 36.755229,-121.399727 36.755232,-121.399731 36.755175,-121.399668 36.755172))",San Benito
"POLYGON ((-121.394124 36.732243,-121.394122 36.732118,-121.39308 36.732127,-121.393082 36.732251,-121.394124 36.732243))",San Benito
"POLYGON ((-121.385342 36.740649,-121.385292 36.740624,-121.385265 36.74066,-121.385316 36.740684,-121.385342 36.740649))",San Benito
"POLYGON ((-121.391787 36.731998,-121.391785 36.731878,-121.390738 36.731888,-121.39074 36.732008,-121.391787 36.731998))",San Benito
"POLYGON ((-121.410978 36.773023,-121.41091 36.773009,-121.410888 36.773076,-121.410956 36.77309,-121.410978 36.773023))",San Benito
"POLYGON ((-121.393791 36.755237,-121.393893 36.755281,-121.393921 36.755239,-121.393819 36.755195,-121.393791 36.755237))",San Benito
"POLYGON ((-121.394351 36.732514,-121.394349 36.732389,-121.393309 36.732399,-121.393311 36.732524,-121.394351 36.732514))",San Benito
"POLYGON ((-121.411935 36.771993,-121.412001 36.772046,-121.412095 36.77197,-121.41203 36.771917,-121.411935 36.771993))",San Benito
"POLYGON ((-121.385158 36.740782,-121.385181 36.740798,-121.385268 36.740718,-121.385245 36.740702,-121.385158 36.740782))",San Benito
"POLYGON ((-121.382147 36.740785,-121.382172 36.740818,-121.382338 36.740739,-121.382314 36.740705,-121.382147 36.740785))",San Benito
"POLYGON ((-121.412753 36.770281,-121.412719 36.770321,-121.412772 36.77035,-121.412806 36.77031,-121.412753 36.770281))",San Benito
"POLYGON ((-121.393078 36.73183,-121.39308 36.731955,-121.394118 36.731946,-121.394116 36.731822,-121.393078 36.73183))",San Benito
"POLYGON ((-121.389353 36.732186,-121.389355 36.732305,-121.390402 36.732295,-121.3904 36.732177,-121.389353 36.732186))",San Benito
"POLYGON ((-121.395506 36.733388,-121.395506 36.733298,-121.395423 36.733298,-121.395423 36.733388,-121.395506 36.733388))",San Benito
"POLYGON ((-121.397551 36.729629,-121.397693 36.72972,-121.398779 36.728623,-121.39864 36.728534,-121.398596 36.728577,-121.398594 36.728576,-121.397551 36.729629))",San Benito
"POLYGON ((-121.400329 36.760042,-121.400394 36.76007,-121.400423 36.760026,-121.400358 36.759999,-121.400329 36.760042))",San Benito
"POLYGON ((-121.384618 36.749432,-121.385079 36.749798,-121.38554 36.749427,-121.385495 36.749391,-121.385629 36.749283,-121.385241 36.748975,-121.385195 36.749012,-121.385226 36.749036,-121.385126 36.749118,-121.385066 36.74907,-121.384618 36.749432))",San Benito
"POLYGON ((-121.384917 36.740448,-121.385029 36.740493,-121.385068 36.740429,-121.384957 36.740384,-121.384917 36.740448))",San Benito
"POLYGON ((-121.382493 36.745479,-121.382432 36.745583,-121.382591 36.745642,-121.382652 36.745538,-121.382493 36.745479))",San Benito
"POLYGON ((-121.39234 36.74422,-121.392246 36.744114,-121.392121 36.744185,-121.392214 36.744291,-121.39234 36.74422))",San Benito
"POLYGON ((-121.385448 36.703335,-121.385344 36.703405,-121.385409 36.703467,-121.385353 36.703504,-121.385408 36.703557,-121.385506 36.70349,-121.385525 36.703508,-121.385587 36.703467,-121.385448 36.703335))",San Benito
"POLYGON ((-121.399928 36.760102,-121.399873 36.760072,-121.399829 36.760124,-121.399884 36.760154,-121.399928 36.760102))",San Benito
"POLYGON ((-121.391261 36.747349,-121.39096 36.747494,-121.391088 36.747666,-121.391052 36.747683,-121.391143 36.747804,-121.391506 36.747629,-121.391369 36.747445,-121.391342 36.747458,-121.391261 36.747349))",San Benito
"POLYGON ((-121.414865 36.771818,-121.414939 36.77181,-121.414929 36.771747,-121.414855 36.771754,-121.414865 36.771818))",San Benito
"POLYGON ((-121.41315 36.770909,-121.413221 36.770951,-121.413348 36.770814,-121.413277 36.770772,-121.41315 36.770909))",San Benito
"POLYGON ((-121.391583 36.743856,-121.39139 36.74394,-121.391476 36.744068,-121.391669 36.743984,-121.391583 36.743856))",San Benito
"POLYGON ((-121.392128 36.744072,-121.392066 36.743964,-121.392021 36.74398,-121.392083 36.744088,-121.392128 36.744072))",San Benito
"POLYGON ((-121.406367 36.757889,-121.406326 36.757938,-121.40641 36.757983,-121.406451 36.757933,-121.406367 36.757889))",San Benito
"POLYGON ((-121.39538 36.733203,-121.39538 36.733278,-121.395586 36.733278,-121.395586 36.733203,-121.39538 36.733203))",San Benito
"POLYGON ((-121.398607 36.741466,-121.398373 36.741466,-121.398373 36.741521,-121.398607 36.741521,-121.398607 36.741466))",San Benito
"POLYGON ((-121.393065 36.731571,-121.393068 36.731695,-121.39411 36.73168,-121.394107 36.731557,-121.393065 36.731571))",San Benito
"POLYGON ((-121.422213 36.719975,-121.422313 36.719953,-121.422267 36.719813,-121.422166 36.719834,-121.422213 36.719975))",San Benito
"POLYGON ((-121.413479 36.770899,-121.413367 36.770827,-121.413281 36.770913,-121.413392 36.770985,-121.413479 36.770899))",San Benito
"POLYGON ((-121.397273 36.767793,-121.397275 36.767827,-121.397316 36.767826,-121.397315 36.767791,-121.397273 36.767793))",San Benito
"POLYGON ((-121.412771 36.770255,-121.412847 36.770296,-121.412949 36.770173,-121.412872 36.770133,-121.412771 36.770255))",San Benito
"POLYGON ((-121.386819 36.732903,-121.386818 36.732785,-121.385775 36.732794,-121.385776 36.732912,-121.386819 36.732903))",San Benito
"POLYGON ((-121.405731 36.763599,-121.40581 36.763646,-121.405852 36.7636,-121.405773 36.763553,-121.405731 36.763599))",San Benito
"POLYGON ((-121.424873 36.774813,-121.424816 36.774885,-121.424907 36.774931,-121.424964 36.774858,-121.424873 36.774813))",San Benito
"POLYGON ((-121.394359 36.732788,-121.394357 36.732663,-121.393314 36.732674,-121.393316 36.732799,-121.394359 36.732788))",San Benito
"POLYGON ((-121.392859 36.745616,-121.392668 36.745615,-121.392668 36.74573,-121.392858 36.745731,-121.392859 36.745616))",San Benito
"POLYGON ((-121.388852 36.732323,-121.388851 36.732202,-121.387809 36.732209,-121.38781 36.73233,-121.388852 36.732323))",San Benito
"POLYGON ((-121.386826 36.733175,-121.386825 36.733057,-121.385781 36.733067,-121.385783 36.733185,-121.386826 36.733175))",San Benito
"POLYGON ((-121.389631 36.749693,-121.389476 36.749756,-121.389566 36.749897,-121.389696 36.749844,-121.389665 36.749796,-121.389613 36.749817,-121.389588 36.749777,-121.389665 36.749746,-121.389631 36.749693))",San Benito
"POLYGON ((-121.385553 36.749896,-121.385388 36.749793,-121.385429 36.749752,-121.385464 36.749774,-121.385494 36.749742,-121.385557 36.749782,-121.385699 36.749637,-121.385578 36.749561,-121.385472 36.749669,-121.385456 36.749658,-121.385285 36.749833,-121.38549 36.749961,-121.385553 36.749896))",San Benito
"POLYGON ((-121.389351 36.732029,-121.390395 36.732021,-121.390394 36.731902,-121.389349 36.731909,-121.389351 36.732029))",San Benito
"POLYGON ((-121.383496 36.702609,-121.383373 36.70256,-121.383296 36.702685,-121.383419 36.702733,-121.383496 36.702609))",San Benito
"POLYGON ((-121.414286 36.770639,-121.414226 36.770537,-121.414118 36.770578,-121.414181 36.770685,-121.414117 36.770709,-121.414167 36.770793,-121.414404 36.770704,-121.414351 36.770614,-121.414286 36.770639))",San Benito
"POLYGON ((-121.393408 36.747465,-121.393379 36.747425,-121.393315 36.747454,-121.393344 36.747494,-121.393408 36.747465))",San Benito
"POLYGON ((-121.393755 36.701084,-121.393846 36.701086,-121.39385 36.701001,-121.393758 36.700998,-121.393755 36.701084))",San Benito
"POLYGON ((-121.389395 36.733831,-121.389396 36.733951,-121.390445 36.733944,-121.390443 36.733824,-121.389395 36.733831))",San Benito
"POLYGON ((-121.412763 36.771277,-121.412694 36.771236,-121.412672 36.771259,-121.412742 36.7713,-121.412763 36.771277))",San Benito
"POLYGON ((-121.383231 36.750796,-121.383189 36.750834,-121.383256 36.750879,-121.383297 36.750841,-121.383231 36.750796))",San Benito
"POLYGON ((-121.41455 36.76952,-121.414458 36.76952,-121.414458 36.769664,-121.41455 36.769664,-121.41455 36.76952))",San Benito
"POLYGON ((-121.385761 36.74938,-121.385818 36.749425,-121.385957 36.749311,-121.385899 36.749266,-121.385761 36.74938))",San Benito
"POLYGON ((-121.39221 36.744792,-121.392322 36.744997,-121.392421 36.744963,-121.39235 36.744833,-121.392438 36.744802,-121.392396 36.744726,-121.39221 36.744792))",San Benito
"POLYGON ((-121.391778 36.731604,-121.39073 36.731614,-121.390732 36.731732,-121.39178 36.731722,-121.391778 36.731604))",San Benito
"POLYGON ((-121.413952 36.76975,-121.414053 36.76975,-121.414053 36.769572,-121.413952 36.769572,-121.413952 36.76975))",San Benito
"POLYGON ((-121.400999 36.760109,-121.400796 36.760008,-121.400702 36.760129,-121.400905 36.76023,-121.400999 36.760109))",San Benito
"POLYGON ((-121.395796 36.7554,-121.395768 36.755434,-121.395813 36.755458,-121.395842 36.755424,-121.395796 36.7554))",San Benito
"POLYGON ((-121.399571 36.729165,-121.399419 36.729066,-121.39937 36.729115,-121.399369 36.729114,-121.398321 36.730159,-121.398475 36.730258,-121.399571 36.729165))",San Benito
"POLYGON ((-121.382068 36.744201,-121.382219 36.744277,-121.382293 36.744182,-121.382142 36.744106,-121.382068 36.744201))",San Benito
"POLYGON ((-121.386813 36.73345,-121.386811 36.73333,-121.38579 36.733339,-121.385791 36.73346,-121.386813 36.73345))",San Benito
"POLYGON ((-121.418511 36.770882,-121.418604 36.770912,-121.418634 36.770852,-121.418541 36.770822,-121.418511 36.770882))",San Benito
"POLYGON ((-121.387836 36.733584,-121.387838 36.733703,-121.388887 36.733692,-121.388885 36.733573,-121.387836 36.733584))",San Benito
"POLYGON ((-121.390791 36.733807,-121.390793 36.733927,-121.391839 36.733917,-121.391837 36.733797,-121.390791 36.733807))",San Benito
"POLYGON ((-121.400896 36.702062,-121.400902 36.702121,-121.400961 36.702117,-121.400955 36.702059,-121.400896 36.702062))",San Benito
"POLYGON ((-121.390437 36.733667,-121.390436 36.733547,-121.389391 36.733557,-121.389393 36.733677,-121.390437 36.733667))",San Benito
"POLYGON ((-121.399543 36.731591,-121.399482 36.73164,-121.399542 36.731689,-121.399604 36.73164,-121.399543 36.731591))",San Benito
"POLYGON ((-121.385366 36.70313,-121.385367 36.703197,-121.38545 36.703196,-121.385449 36.703129,-121.385366 36.70313))",San Benito
"POLYGON ((-121.412234 36.771835,-121.412162 36.771783,-121.412069 36.771866,-121.412141 36.771918,-121.412234 36.771835))",San Benito
"POLYGON ((-121.386798 36.732078,-121.386796 36.731959,-121.38575 36.731969,-121.385752 36.732089,-121.386798 36.732078))",San Benito
"POLYGON ((-121.412349 36.766879,-121.412333 36.766904,-121.412438 36.766948,-121.412454 36.766923,-121.412349 36.766879))",San Benito
"POLYGON ((-121.383865 36.739931,-121.383877 36.74005,-121.383811 36.740055,-121.383816 36.740109,-121.38394 36.740101,-121.383922 36.739927,-121.383865 36.739931))",San Benito
"POLYGON ((-121.418454 36.886203,-121.418323 36.886217,-121.418341 36.886322,-121.41829 36.886328,-121.418301 36.886392,-121.418571 36.886363,-121.418556 36.886276,-121.418484 36.886284,-121.418474 36.886225,-121.418537 36.886218,-121.41851 36.88606,-121.418431 36.886069,-121.418454 36.886203))",San Benito
"POLYGON ((-121.399218 36.884596,-121.397891 36.884511,-121.397883 36.884589,-121.39921 36.884675,-121.399218 36.884596))",San Benito
"POLYGON ((-121.503194 36.841608,-121.503194 36.841765,-121.503317 36.841765,-121.503317 36.841608,-121.503194 36.841608))",San Benito
"POLYGON ((-121.445372 36.856509,-121.445502 36.856555,-121.445547 36.856475,-121.445417 36.856428,-121.445372 36.856509))",San Benito
"POLYGON ((-121.429264 36.854158,-121.429136 36.854158,-121.429136 36.854203,-121.42909 36.854203,-121.42909 36.854285,-121.429264 36.854285,-121.429264 36.854158))",San Benito
"POLYGON ((-121.430321 36.856538,-121.430479 36.856538,-121.430479 36.856409,-121.430321 36.856409,-121.430321 36.856538))",San Benito
"POLYGON ((-121.426026 36.856786,-121.426027 36.856716,-121.425846 36.856715,-121.425845 36.856845,-121.425971 36.856846,-121.425972 36.856785,-121.426026 36.856786))",San Benito
"POLYGON ((-121.441928 36.853138,-121.442074 36.853175,-121.442134 36.853022,-121.441988 36.852986,-121.441928 36.853138))",San Benito
"POLYGON ((-121.421138 36.848027,-121.421166 36.848678,-121.421302 36.848675,-121.421275 36.848023,-121.421138 36.848027))",San Benito
"POLYGON ((-121.42169 36.848311,-121.421532 36.848311,-121.421533 36.848781,-121.421691 36.848781,-121.42169 36.848311))",San Benito
"POLYGON ((-121.421896 36.849614,-121.421868 36.849556,-121.421734 36.849597,-121.421762 36.849655,-121.421896 36.849614))",San Benito
"POLYGON ((-121.397719 36.862517,-121.397719 36.862478,-121.397639 36.862478,-121.397638 36.862519,-121.397577 36.862519,-121.397576 36.862585,-121.397758 36.862586,-121.397758 36.862517,-121.397719 36.862517))",San Benito
"POLYGON ((-121.410651 36.854489,-121.410594 36.854486,-121.410589 36.854549,-121.410646 36.854551,-121.410651 36.854489))",San Benito
"POLYGON ((-121.406734 36.853714,-121.406844 36.853714,-121.406844 36.853563,-121.406734 36.853563,-121.406734 36.853714))",San Benito
"POLYGON ((-121.409542 36.853879,-121.409542 36.85396,-121.409746 36.85396,-121.409746 36.853879,-121.409542 36.853879))",San Benito
"POLYGON ((-121.408617 36.854289,-121.408617 36.854435,-121.408737 36.854435,-121.408737 36.854289,-121.408617 36.854289))",San Benito
"POLYGON ((-121.402002 36.858744,-121.402139 36.858744,-121.402139 36.858648,-121.402002 36.858648,-121.402002 36.858744))",San Benito
"POLYGON ((-121.414836 36.846626,-121.414832 36.846784,-121.414996 36.846787,-121.415 36.846672,-121.414911 36.846671,-121.414913 36.846628,-121.414836 36.846626))",San Benito
"POLYGON ((-121.412973 36.846851,-121.412823 36.846849,-121.41282 36.846986,-121.412971 36.846987,-121.412973 36.846851))",San Benito
"POLYGON ((-121.41606 36.848641,-121.416135 36.848642,-121.416136 36.848595,-121.416206 36.848597,-121.41621 36.848472,-121.416151 36.848471,-121.41615 36.848493,-121.416064 36.848492,-121.41606 36.848641))",San Benito
"POLYGON ((-121.420702 36.849544,-121.420608 36.849545,-121.420613 36.849708,-121.420707 36.849707,-121.420702 36.849544))",San Benito
"POLYGON ((-121.416513 36.849767,-121.416513 36.8499,-121.416679 36.8499,-121.416679 36.849767,-121.416513 36.849767))",San Benito
"POLYGON ((-121.411723 36.85119,-121.411723 36.851256,-121.411838 36.851256,-121.411838 36.85119,-121.411723 36.85119))",San Benito
"POLYGON ((-121.411564 36.851827,-121.411449 36.851827,-121.411449 36.851958,-121.411564 36.851958,-121.411564 36.851827))",San Benito
"POLYGON ((-121.420268 36.852148,-121.420431 36.852155,-121.420436 36.852076,-121.420273 36.852069,-121.420268 36.852148))",San Benito
